path,string
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024083\3024083-ABS.ZA95-19.5-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024083 ABS.ZA95-19.5-AAS Depth Filter Cartridge (3024083)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 19.5   Length in cm 49.5   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024084\3024084-ABS.ZA95-20-AAE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024084 ABS.ZA95-20-AAE Depth Filter Cartridge (3024084)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  EPDM        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024085\3024085-ABS.ZA95-20-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024085 ABS.ZA95-20-AAS Depth Filter Cartridge (3024085)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024086\3024086-ABS.ZA95-20-EHV-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024086 ABS.ZA95-20-EHV Depth Filter Cartridge (3024086)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Fin   O-Ring / Gasket /  Viton        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024087\3024087-ABS.ZA95-20-ESE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024087 ABS.ZA95-20-ESE Depth Filter Cartridge (3024087)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Flat end   O-Ring / Gasket /  EPDM        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024088\3024088-ABS.ZA95-30-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024088 ABS.ZA95-30-AAS Depth Filter Cartridge (3024088)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024089\3024089-ABS.ZA95-30-AKS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024089 ABS.ZA95-30-AKS Depth Filter Cartridge (3024089)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Spring   O-Ring / Gasket /  Silicon        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024100\3024100-ABS.ZA95-30-EHE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024100 ABS.ZA95-30-EHE Depth Filter Cartridge (3024100)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Fin   O-Ring / Gasket /  EPDM        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024101\3024101-ABS.ZA95-30-FHS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024101 ABS.ZA95-30-FHS Depth Filter Cartridge (3024101)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 226   Adapter 2 Fin   O-Ring / Gasket /  Silicon        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024102\3024102-ABS.ZA95-40-AAE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024102 ABS.ZA95-40-AAE Depth Filter Cartridge (3024102)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  EPDM        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
